question_id,corpus_id
0000002,0016534_59_2014_QH13
0000002,0016576_59_2014_QH13
0000002,0016531_59_2014_QH13
0000002,0016577_59_2014_QH13
0000002,0016575_59_2014_QH13
0000010,0022597_91_2015_QH13
0000011,0021992_91_2015_QH13
0000011,0021993_91_2015_QH13
0000011,0021986_91_2015_QH13
0000011,0021995_91_2015_QH13
0000013,0018972_68_2020_QH14
0000013,0018963_68_2020_QH14
0000015,0015584_52_2014_QH13
0000015,0022581_91_2015_QH13
0000016,0016565_59_2014_QH13
0000016,0016566_59_2014_QH13
0000017,0022658_91_2015_QH13
0000017,0022619_91_2015_QH13
0000017,0022660_91_2015_QH13
0000019,0020415_78_2015_QH13
0000020,0007512_19_2012_QH13
0000021,0015514_52_2014_QH13
0000022,0022011_91_2015_QH13
0000024,0022265_91_2015_QH13
0000030,0002575_100_2015_QH13
0000035,0017173_60_2014_QH13
0000038,0022183_91_2015_QH13
0000039,0009987_28_2009_QH12
0000040,0022660_91_2015_QH13
0000040,0022659_91_2015_QH13
0000040,0022619_91_2015_QH13
0000041,0024621_96_2015_QH13
0000041,0024619_96_2015_QH13
0000041,0024620_96_2015_QH13
0000041,0024623_96_2015_QH13
0000043,0015579_52_2014_QH13
0000043,0015578_52_2014_QH13
0000043,0015585_52_2014_QH13
0000043,0015576_52_2014_QH13
0000044,0021962_91_2015_QH13
0000046,0014325_49_2019_QH14
0000046,0014318_49_2019_QH14
0000046,0014336_49_2019_QH14
0000048,0022583_91_2015_QH13
0000051,0022658_91_2015_QH13
0000054,0020434_78_2015_QH13
0000055,0015502_52_2014_QH13
0000056,0015564_52_2014_QH13
0000057,0022658_91_2015_QH13
0000059,0016655_59_2020_QH14
0000059,0016656_59_2020_QH14
0000072,0022452_91_2015_QH13
0000080,0024059_94_2015_QH13
0000080,0024058_94_2015_QH13
0000084,0015460_52_2010_QH12
0000084,0015471_52_2010_QH12
0000084,0015462_52_2010_QH12
0000085,0015448_52_2010_QH12
0000085,0015431_52_2010_QH12
0000088,0014481_50_2005_QH11
0000090,0015551_52_2014_QH13
0000092,0018461_66_2011_QH12
0000092,0018462_66_2011_QH12
0000093,0022632_91_2015_QH13
0000095,0015546_52_2014_QH13
0000097,0022737_92_2015_QH13
0000101,0018956_68_2020_QH14
0000111,0023285_92_2015_QH13
0000113,0015429_52_2010_QH12
0000113,0015430_52_2010_QH12
0000117,0019897_75_2006_QH11
0000117,0019908_75_2006_QH11
0000117,0019909_75_2006_QH11
0000117,0019898_75_2006_QH11
0000117,0019904_75_2006_QH11
0000118,0014666_50_2005_QH11
0000118,0014661_50_2005_QH11
0000119,0003290_101_2015_QH13
0000119,0003291_101_2015_QH13
0000121,0022015_91_2015_QH13
0000121,0022014_91_2015_QH13
0000128,0009981_28_2009_QH12
0000131,0013091_45_2013_QH13
0000131,0013233_45_2013_QH13
0000131,0013093_45_2013_QH13
0000135,0013558_45_2019_QH14
0000135,0013555_45_2019_QH14
0000136,0018965_68_2020_QH14
0000137,0015596_52_2014_QH13
0000140,0022432_91_2015_QH13
0000142,0008731_23_2008_QH12
0000144,0009929_28_2009_QH12
0000144,0009980_28_2009_QH12
0000146,0015547_52_2014_QH13
0000146,0015533_52_2014_QH13
0000146,0015543_52_2014_QH13
0000149,0022126_91_2015_QH13
0000150,0016968_59_2020_QH14
0000151,0015596_52_2014_QH13
0000151,0015597_52_2014_QH13
0000151,0015592_52_2014_QH13
0000151,0015595_52_2014_QH13
0000153,0015449_52_2010_QH12
0000154,0022449_91_2015_QH13
0000161,0015636_52_2014_QH13
0000161,0015625_52_2014_QH13
0000161,0015632_52_2014_QH13
0000163,0022660_91_2015_QH13
0000164,0015490_52_2014_QH13
0000164,0015491_52_2014_QH13
0000169,0015567_52_2014_QH13
0000169,0015564_52_2014_QH13
0000169,0015575_52_2014_QH13
0000171,0014406_50_2005_QH11
0000172,0022293_91_2015_QH13
0000172,0022291_91_2015_QH13
0000172,0022296_91_2015_QH13
0000174,0021964_91_2015_QH13
0000174,0021963_91_2015_QH13
0000180,0015116_51_2005_QH11
0000180,0015115_51_2005_QH11
0000181,0024729_98_2015_QH13
0000181,0024709_98_2015_QH13
0000182,0022285_91_2015_QH13
0000182,0022284_91_2015_QH13
0000182,0022282_91_2015_QH13
0000182,0022283_91_2015_QH13
0000184,0022444_91_2015_QH13
0000193,0015547_52_2014_QH13
0000193,0015533_52_2014_QH13
0000193,0015543_52_2014_QH13
0000194,0022669_91_2015_QH13
0000195,0021983_91_2015_QH13
0000195,0018941_68_2020_QH14
0000198,0009987_28_2009_QH12
0000201,0017178_60_2014_QH13
0000208,0022455_91_2015_QH13
0000209,0014403_50_2005_QH11
0000210,0022669_91_2015_QH13
0000214,0015089_51_2005_QH11
0000214,0015090_51_2005_QH11
0000216,0015547_52_2014_QH13
0000216,0015533_52_2014_QH13
0000218,0021993_91_2015_QH13
0000218,0021992_91_2015_QH13
0000218,0021986_91_2015_QH13
0000219,0022183_91_2015_QH13
0000219,0018095_65_2014_QH13
0000221,0020171_77_2015_QH13
0000221,0020344_77_2015_QH13
0000221,0020169_77_2015_QH13
0000223,0015538_52_2014_QH13
0000223,0015549_52_2014_QH13
0000223,0015529_52_2014_QH13
0000225,0009126_24_2008_QH12
0000227,0010143_29_2013_QH13
0000234,0021946_91_2015_QH13
0000237,0015592_52_2014_QH13
0000237,0015596_52_2014_QH13
0000238,0022420_91_2015_QH13
0000239,0015506_52_2014_QH13
0000240,0022291_91_2015_QH13
0000240,0022292_91_2015_QH13
0000240,0022296_91_2015_QH13
0000240,0022295_91_2015_QH13
0000243,0015551_52_2014_QH13
0000246,0014695_50_2005_QH11
0000250,0007535_19_2012_QH13
0000251,0023965_93_2015_QH13
0000251,0022921_92_2015_QH13
0000252,0022579_91_2015_QH13
0000252,0022580_91_2015_QH13
0000255,0018101_65_2014_QH13
0000256,0016554_59_2014_QH13
0000256,0016557_59_2014_QH13
0000258,0015573_52_2014_QH13
0000258,0015567_52_2014_QH13
0000258,0022664_91_2015_QH13
0000261,0022631_91_2015_QH13
0000262,0020412_78_2015_QH13
0000262,0020419_78_2015_QH13
0000262,0020456_78_2015_QH13
0000264,0020403_78_2015_QH13
0000264,0014220_48_2019_QH14
0000264,0014160_48_2019_QH14
0000269,0022918_92_2015_QH13
0000269,0023583_93_2015_QH13
0000271,0022523_91_2015_QH13
0000271,0022529_91_2015_QH13
0000271,0022527_91_2015_QH13
0000273,0015441_52_2010_QH12
0000273,0015442_52_2010_QH12
0000273,0015593_52_2014_QH13
0000275,0009929_28_2009_QH12
0000276,0017267_61_2020_QH14
0000277,0022128_91_2015_QH13
0000279,0018965_68_2020_QH14
0000282,0015533_52_2014_QH13
0000283,0022419_91_2015_QH13
0000290,0022453_91_2015_QH13
0000290,0022454_91_2015_QH13
0000296,0022449_91_2015_QH13
0000296,0022448_91_2015_QH13
0000296,0022446_91_2015_QH13
0000297,0020403_78_2015_QH13
0000297,0014220_48_2019_QH14
0000297,0014160_48_2019_QH14
0000306,0022084_91_2015_QH13
0000306,0022068_91_2015_QH13
0000306,0022073_91_2015_QH13
0000308,0016555_59_2014_QH13
0000308,0016532_59_2014_QH13
0000310,0022619_91_2015_QH13
0000310,0022660_91_2015_QH13
0000313,0022257_91_2015_QH13
0000315,0022325_91_2015_QH13
0000320,0022118_91_2015_QH13
0000321,0014301_49_2019_QH14
0000321,0014300_49_2019_QH14
0000321,0014302_49_2019_QH14
0000322,0015536_52_2014_QH13
0000324,0022291_91_2015_QH13
0000324,0022296_91_2015_QH13
0000324,0022295_91_2015_QH13
0000324,0022297_91_2015_QH13
0000326,0023041_92_2015_QH13
0000326,0023707_93_2015_QH13
0000327,0003038_100_2015_QH13
0000331,0022627_91_2015_QH13
0000331,0022632_91_2015_QH13
0000332,0015441_52_2010_QH12
0000332,0015442_52_2010_QH12
0000335,0015502_52_2014_QH13
0000336,0023111_92_2015_QH13
0000336,0023777_93_2015_QH13
0000336,0023116_92_2015_QH13
0000339,0014600_50_2005_QH11
0000339,0014601_50_2005_QH11
0000339,0014598_50_2005_QH11
0000341,0011476_37_2018_QH14
0000342,0020406_78_2015_QH13
0000344,0017177_60_2014_QH13
0000344,0017179_60_2014_QH13
0000345,0022000_91_2015_QH13
0000345,0022003_91_2015_QH13
0000348,0022272_91_2015_QH13
0000349,0015593_52_2014_QH13
0000349,0015592_52_2014_QH13
0000351,0016555_59_2014_QH13
0000351,0016558_59_2014_QH13
0000356,0015506_52_2014_QH13
0000361,0024647_96_2015_QH13
0000364,0024048_94_2015_QH13
0000368,0009879_28_2004_QH11
0000368,0009878_28_2004_QH11
0000369,0022996_92_2015_QH13
0000369,0023667_93_2015_QH13
0000370,0015588_52_2014_QH13
0000376,0015543_52_2014_QH13
0000376,0015533_52_2014_QH13
0000376,0015544_52_2014_QH13
0000376,0015547_52_2014_QH13
0000378,0022293_91_2015_QH13
0000378,0022294_91_2015_QH13
0000379,0009126_24_2008_QH12
0000379,0009131_24_2008_QH12
0000380,0012790_43_2019_QH14
0000384,0022646_91_2015_QH13
0000386,0022623_91_2015_QH13
0000388,0017178_60_2014_QH13
0000388,0017179_60_2014_QH13
0000388,0017202_60_2014_QH13
0000392,0019084_69_2020_QH14
0000394,0017165_60_2014_QH13
0000395,0019904_75_2006_QH11
0000395,0019895_75_2006_QH11
0000395,0019908_75_2006_QH11
0000396,0016555_59_2014_QH13
0000396,0016558_59_2014_QH13
0000402,0022289_91_2015_QH13
0000404,0019884_75_2006_QH11
0000408,0009110_24_2008_QH12
0000410,0022846_92_2015_QH13
0000413,0018972_68_2020_QH14
0000413,0018963_68_2020_QH14
0000413,0018973_68_2020_QH14
0000416,0015506_52_2014_QH13
0000416,0015507_52_2014_QH13
0000419,0012859_43_2019_QH14
0000424,0022605_91_2015_QH13
0000425,0015432_52_2010_QH12
0000425,0015441_52_2010_QH12
0000425,0015433_52_2010_QH12
0000427,0015592_52_2014_QH13
0000427,0015596_52_2014_QH13
0000427,0015593_52_2014_QH13
0000427,0015595_52_2014_QH13
0000431,0022418_91_2015_QH13
0000432,0016319_58_2014_QH13
0000432,0016320_58_2014_QH13
0000432,0016313_58_2014_QH13
0000432,0016311_58_2014_QH13
0000433,0022458_91_2015_QH13
0000434,0022631_91_2015_QH13
0000435,0015538_52_2014_QH13
0000435,0015549_52_2014_QH13
0000435,0015529_52_2014_QH13
0000437,0022659_91_2015_QH13
0000440,0014503_50_2005_QH11
0000440,0014504_50_2005_QH11
0000440,0014582_50_2005_QH11
0000441,0021949_91_2015_QH13
0000444,0016537_59_2014_QH13
0000444,0016536_59_2014_QH13
0000444,0016531_59_2014_QH13
0000447,0022369_91_2015_QH13
0000448,0023755_93_2015_QH13
0000448,0023092_92_2015_QH13
0000448,0003611_101_2015_QH13
0000449,0017168_60_2014_QH13
0000449,0017200_60_2014_QH13
0000449,0017169_60_2014_QH13
0000450,0016490_59_2010_QH12
0000450,0016492_59_2010_QH12
0000451,0015564_52_2014_QH13
0000451,0015567_52_2014_QH13
0000451,0015565_52_2014_QH13
0000454,0024616_96_2015_QH13
0000454,0024617_96_2015_QH13
0000455,0022513_91_2015_QH13
0000455,0022512_91_2015_QH13
0000455,0018372_66_2006_QH11
0000457,0015516_52_2014_QH13
0000457,0015514_52_2014_QH13
0000457,0015515_52_2014_QH13
0000458,0024602_96_2015_QH13
0000467,0021971_91_2015_QH13
0000467,0021972_91_2015_QH13
0000472,0022390_91_2015_QH13
0000473,0022631_91_2015_QH13
0000473,0022629_91_2015_QH13
0000480,0017198_60_2014_QH13
0000481,0014403_50_2005_QH11
0000481,0014496_50_2005_QH11
0000481,0014494_50_2005_QH11
0000486,0002867_100_2015_QH13
0000486,0002866_100_2015_QH13
0000486,0002872_100_2015_QH13
0000486,0002870_100_2015_QH13
0000488,0022632_91_2015_QH13
0000488,0022636_91_2015_QH13
0000489,0022561_91_2015_QH13
0000489,0022562_91_2015_QH13
0000494,0009980_28_2009_QH12
0000494,0009981_28_2009_QH12
0000495,0016557_59_2014_QH13
0000495,0016554_59_2014_QH13
0000497,0017185_60_2014_QH13
0000500,0013180_45_2013_QH13
0000502,0015567_52_2014_QH13
0000502,0022664_91_2015_QH13
0000502,0015564_52_2014_QH13
0000505,0015506_52_2014_QH13
0000505,0015494_52_2014_QH13
0000506,0013360_45_2013_QH13
0000506,0013361_45_2013_QH13
0000506,0013362_45_2013_QH13
0000510,0022082_91_2015_QH13
0000512,0020412_78_2015_QH13
0000514,0022642_91_2015_QH13
0000516,0016560_59_2014_QH13
0000516,0016561_59_2014_QH13
0000516,0016532_59_2014_QH13
0000516,0016563_59_2014_QH13
0000516,0016557_59_2014_QH13
0000527,0015609_52_2014_QH13
0000527,0015613_52_2014_QH13
0000528,0015536_52_2014_QH13
0000532,0022556_91_2015_QH13
0000534,0013352_45_2013_QH13
0000534,0013350_45_2013_QH13
0000534,0013351_45_2013_QH13
0000534,0013353_45_2013_QH13
0000537,0022463_91_2015_QH13
0000537,0022461_91_2015_QH13
0000537,0022465_91_2015_QH13
0000539,0020457_78_2015_QH13
0000542,0022040_91_2015_QH13
0000543,0015594_52_2014_QH13
0000543,0015595_52_2014_QH13
0000543,0015562_52_2014_QH13
0000544,0023278_92_2015_QH13
0000547,0014420_50_2005_QH11
0000549,0015432_52_2010_QH12
0000549,0015425_52_2010_QH12
0000549,0015441_52_2010_QH12
0000551,0015502_52_2014_QH13
0000554,0024012_94_2015_QH13
0000555,0014326_49_2019_QH14
0000555,0014336_49_2019_QH14
0000557,0014446_50_2005_QH11
0000562,0020452_78_2015_QH13
0000562,0014155_48_2019_QH14
0000566,0022660_91_2015_QH13
0000566,0022619_91_2015_QH13
0000566,0022659_91_2015_QH13
0000567,0022303_91_2015_QH13
0000572,0022546_91_2015_QH13
0000573,0015513_52_2014_QH13
0000574,0009980_28_2009_QH12
0000577,0015555_52_2014_QH13
0000579,0014313_49_2019_QH14
0000582,0020452_78_2015_QH13
0000584,0022446_91_2015_QH13
0000585,0021963_91_2015_QH13
0000585,0021964_91_2015_QH13
0000586,0015546_52_2014_QH13
0000586,0015540_52_2014_QH13
0000586,0015565_52_2014_QH13
0000592,0016917_59_2020_QH14
0000592,0016710_59_2020_QH14
0000592,0016745_59_2020_QH14
0000593,0015533_52_2014_QH13
0000593,0015547_52_2014_QH13
0000595,0020412_78_2015_QH13
0000595,0020419_78_2015_QH13
0000597,0022621_91_2015_QH13
0000597,0022622_91_2015_QH13
0000598,0015506_52_2014_QH13
0000603,0016554_59_2014_QH13
0000603,0016555_59_2014_QH13
0000609,0022199_91_2015_QH13
0000610,0015506_52_2014_QH13
0000611,0013452_45_2019_QH14
0000612,0016568_59_2014_QH13
0000613,0022614_91_2015_QH13
0000614,0015497_52_2014_QH13
0000617,0022333_91_2015_QH13
0000620,0016557_59_2014_QH13
0000622,0022111_91_2015_QH13
0000628,0015497_52_2014_QH13
0000630,0018551_66_2014_QH13
0000632,0015490_52_2014_QH13
0000632,0015491_52_2014_QH13
0000635,0015507_52_2014_QH13
0000636,0022410_91_2015_QH13
0000638,0017205_60_2014_QH13
0000638,0017182_60_2014_QH13
0000641,0018963_68_2020_QH14
0000644,0019906_75_2006_QH11
0000645,0015570_52_2014_QH13
0000646,0017174_60_2014_QH13
0000647,0016560_59_2014_QH13
0000647,0016532_59_2014_QH13
0000649,0014327_49_2019_QH14
0000649,0014330_49_2019_QH14
0000649,0014331_49_2019_QH14
0000649,0014334_49_2019_QH14
0000649,0014319_49_2019_QH14
0000651,0024598_96_2015_QH13
0000652,0021944_91_2015_QH13
0000653,0022660_91_2015_QH13
0000653,0022619_91_2015_QH13
0000653,0022669_91_2015_QH13
0000655,0015439_52_2010_QH12
0000655,0015443_52_2010_QH12
0000657,0002670_100_2015_QH13
0000661,0014521_50_2005_QH11
0000666,0018985_68_2020_QH14
0000669,0022669_91_2015_QH13
0000675,0020434_78_2015_QH13
0000676,0015536_52_2014_QH13
0000676,0022178_91_2015_QH13
0000676,0015533_52_2014_QH13
0000676,0015547_52_2014_QH13
0000676,0015543_52_2014_QH13
0000677,0013135_45_2013_QH13
0000677,0013136_45_2013_QH13
0000677,0013145_45_2013_QH13
0000677,0013146_45_2013_QH13
0000677,0013138_45_2013_QH13
0000679,0022612_91_2015_QH13
0000680,0022659_91_2015_QH13
0000680,0022660_91_2015_QH13
0000681,0018976_68_2020_QH14
0000682,0005691_13_2022_QH15
0000682,0005721_13_2022_QH15
0000683,0009345_25_2018_QH14
0000683,0009346_25_2018_QH14
0000686,0021989_91_2015_QH13
0000686,0021987_91_2015_QH13
0000687,0020456_78_2015_QH13
0000689,0015535_52_2014_QH13
0000697,0018103_65_2014_QH13
0000699,0015533_52_2014_QH13
0000699,0015564_52_2014_QH13
0000699,0015544_52_2014_QH13
0000699,0015567_52_2014_QH13
0000700,0016562_59_2014_QH13
0000700,0016581_59_2014_QH13
0000701,0021967_91_2015_QH13
0000704,0014419_50_2005_QH11
0000707,0022660_91_2015_QH13
0000710,0022023_91_2015_QH13
0000722,0005048_10_2022_QH15
0000724,0016557_59_2014_QH13
0000724,0016560_59_2014_QH13
0000728,0015497_52_2014_QH13
0000731,0021985_91_2015_QH13
0000731,0021987_91_2015_QH13
0000733,0020412_78_2015_QH13
0000733,0020403_78_2015_QH13
0000733,0020419_78_2015_QH13
0000738,0022586_91_2015_QH13
0000740,0021986_91_2015_QH13
0000740,0021994_91_2015_QH13
0000740,0022001_91_2015_QH13
0000741,0022586_91_2015_QH13
0000742,0022477_91_2015_QH13
0000742,0022476_91_2015_QH13
0000742,0022478_91_2015_QH13
0000743,0015594_52_2014_QH13
0000743,0015595_52_2014_QH13
0000743,0015592_52_2014_QH13
0000743,0015593_52_2014_QH13
0000744,0022601_91_2015_QH13
0000746,0015533_52_2014_QH13
0000746,0015547_52_2014_QH13
0000746,0015534_52_2014_QH13
0000746,0022178_91_2015_QH13
0000746,0015543_52_2014_QH13
0000748,0014357_49_2019_QH14
0000749,0017192_60_2014_QH13
0000749,0017193_60_2014_QH13
0000750,0015544_52_2014_QH13
0000750,0015567_52_2014_QH13
0000750,0015541_52_2014_QH13
0000752,0015592_52_2014_QH13
0000752,0015593_52_2014_QH13
0000752,0015596_52_2014_QH13
0000754,0018949_68_2020_QH14
0000758,0023550_93_2015_QH13
0000758,0022815_92_2015_QH13
0000758,0022814_92_2015_QH13
0000762,0009125_24_2008_QH12
0000762,0009142_24_2008_QH12
0000764,0009154_24_2008_QH12
0000764,0009155_24_2008_QH12
0000766,0015124_51_2005_QH11
0000772,0015448_52_2010_QH12
0000776,0014521_50_2005_QH11
0000777,0019630_73_2006_QH11
0000777,0019621_73_2006_QH11
0000782,0024636_96_2015_QH13
0000782,0024635_96_2015_QH13
0000784,0022558_91_2015_QH13
0000788,0018976_68_2020_QH14
0000789,0021986_91_2015_QH13
0000789,0021994_91_2015_QH13
0000789,0022001_91_2015_QH13
0000791,0013314_45_2013_QH13
0000793,0020452_78_2015_QH13
0000794,0022068_91_2015_QH13
0000795,0016555_59_2014_QH13
0000795,0016558_59_2014_QH13
0000797,0011087_36_2005_QH11
0000798,0004976_10_2022_QH15
0000803,0022523_91_2015_QH13
0000803,0022529_91_2015_QH13
0000804,0022579_91_2015_QH13
0000804,0022396_91_2015_QH13
0000809,0022057_91_2015_QH13
0000810,0022522_91_2015_QH13
0000811,0015162_51_2010_QH12
0000814,0013185_45_2013_QH13
0000814,0013184_45_2013_QH13
0000814,0013187_45_2013_QH13
0000815,0024034_94_2015_QH13
0000817,0023779_93_2015_QH13
0000817,0023113_92_2015_QH13
0000817,0003718_101_2015_QH13
0000818,0023067_92_2015_QH13
0000818,0023729_93_2015_QH13
0000818,0023068_92_2015_QH13
0000819,0021938_91_2015_QH13
0000822,0018135_65_2014_QH13
0000825,0022658_91_2015_QH13
0000827,0015589_52_2014_QH13
0000833,0019900_75_2006_QH11
0000833,0019899_75_2006_QH11
0000833,0019904_75_2006_QH11
0000837,0017184_60_2014_QH13
0000837,0017185_60_2014_QH13
0000837,0017207_60_2014_QH13
0000844,0015593_52_2014_QH13
0000844,0015592_52_2014_QH13
0000844,0015595_52_2014_QH13
0000854,0022660_91_2015_QH13
0000856,0018925_68_2020_QH14
0000858,0023667_93_2015_QH13
0000858,0022996_92_2015_QH13
0000858,0023242_92_2015_QH13
0000859,0018969_68_2020_QH14
0000860,0022614_91_2015_QH13
0000863,0009142_24_2008_QH12
0000863,0009141_24_2008_QH12
0000869,0022310_91_2015_QH13
0000870,0022294_91_2015_QH13
0000872,0022452_91_2015_QH13
0000875,0005051_10_2022_QH15
0000877,0022840_92_2015_QH13
0000877,0022839_92_2015_QH13
0000881,0003317_101_2015_QH13
0000882,0022632_91_2015_QH13
0000884,0019919_75_2006_QH11
0000889,0017177_60_2014_QH13
0000889,0017179_60_2014_QH13
0000889,0017163_60_2014_QH13
0000893,0015615_52_2014_QH13
0000893,0015616_52_2014_QH13
0000893,0015614_52_2014_QH13
0000893,0015613_52_2014_QH13
0000893,0015609_52_2014_QH13
0000895,0022649_91_2015_QH13
0000895,0022648_91_2015_QH13
0000895,0022658_91_2015_QH13
0000896,0014371_49_2019_QH14
0000896,0014370_49_2019_QH14
0000905,0022017_91_2015_QH13
0000905,0022015_91_2015_QH13
0000907,0022660_91_2015_QH13
0000908,0015449_52_2010_QH12
0000912,0021961_91_2015_QH13
0000913,0014479_50_2005_QH11
0000914,0018965_68_2020_QH14
0000916,0022082_91_2015_QH13
0000918,0009116_24_2008_QH12
0000919,0022651_91_2015_QH13
0000919,0022652_91_2015_QH13
0000922,0017178_60_2014_QH13
0000923,0015567_52_2014_QH13
0000923,0015533_52_2014_QH13
0000923,0015564_52_2014_QH13
0000924,0020416_78_2015_QH13
0000924,0020417_78_2015_QH13
0000932,0022093_91_2015_QH13
0000932,0022094_91_2015_QH13
0000935,0015548_52_2014_QH13
0000935,0015547_52_2014_QH13
0000938,0022014_91_2015_QH13
0000943,0013350_45_2013_QH13
0000943,0017895_65_2014_QH13
0000943,0018134_65_2014_QH13
0000943,0013352_45_2013_QH13
0000943,0013353_45_2013_QH13
0000946,0011289_36_2005_QH11
0000948,0022472_91_2015_QH13
0000948,0022473_91_2015_QH13
0000950,0009133_24_2008_QH12
0000950,0009132_24_2008_QH12
0000950,0009134_24_2008_QH12
0000951,0017199_60_2014_QH13
0000951,0017220_60_2014_QH13
0000952,0015436_52_2010_QH12
0000955,0021965_91_2015_QH13
0000961,0021386_86_2015_QH13
0000961,0021346_86_2015_QH13
0000962,0017215_60_2014_QH13
0000963,0015099_51_2005_QH11
0000966,0004127_102_2016_QH13
0000966,0004126_102_2016_QH13
0000967,0022651_91_2015_QH13
0000967,0022658_91_2015_QH13
0000969,0015588_52_2014_QH13
0000969,0015586_52_2014_QH13
0000969,0015587_52_2014_QH13
0000969,0015585_52_2014_QH13
0000970,0022660_91_2015_QH13
0000970,0022659_91_2015_QH13
0000973,0022532_91_2015_QH13
0000979,0015107_51_2005_QH11
0000979,0015099_51_2005_QH11
0000979,0015106_51_2005_QH11
0000980,0015555_52_2014_QH13
0000980,0015559_52_2014_QH13
0000980,0015560_52_2014_QH13
0000984,0015556_52_2014_QH13
0000987,0022570_91_2015_QH13
0000996,0009126_24_2008_QH12
0000996,0009127_24_2008_QH12
0000997,0015547_52_2014_QH13
0000997,0015533_52_2014_QH13
0000997,0015564_52_2014_QH13
0000997,0015543_52_2014_QH13
0000999,0022658_91_2015_QH13
0001000,0022374_91_2015_QH13
0001001,0020452_78_2015_QH13
0001001,0020453_78_2015_QH13
0001004,0000524_04_2007_QH12
0001004,0000523_04_2007_QH12
0001007,0016552_59_2014_QH13
0001007,0016549_59_2014_QH13
0001008,0022664_91_2015_QH13
0001010,0018932_68_2020_QH14
0001010,0018934_68_2020_QH14
0001014,0017114_60_2010_QH12
0001014,0017115_60_2010_QH12
0001015,0015437_52_2010_QH12
0001015,0015436_52_2010_QH12
0001032,0022627_91_2015_QH13
0001047,0022086_91_2015_QH13
0001047,0022085_91_2015_QH13
0001048,0022581_91_2015_QH13
0001051,0016555_59_2014_QH13
0001051,0016558_59_2014_QH13
0001051,0016532_59_2014_QH13
0001052,0022382_91_2015_QH13
0001059,0015560_52_2014_QH13
0001059,0015559_52_2014_QH13
0001059,0015555_52_2014_QH13
0001065,0022382_91_2015_QH13
0001066,0015538_52_2014_QH13
0001066,0015564_52_2014_QH13
0001066,0015547_52_2014_QH13
0001066,0015543_52_2014_QH13
0001066,0015549_52_2014_QH13
0001067,0015592_52_2014_QH13
0001067,0022737_92_2015_QH13
0001068,0015625_52_2014_QH13
0001068,0015630_52_2014_QH13
0001068,0015632_52_2014_QH13
0001068,0015629_52_2014_QH13
0001068,0015628_52_2014_QH13
0001069,0015592_52_2014_QH13
0001069,0015593_52_2014_QH13
0001071,0015623_52_2014_QH13
0001071,0015624_52_2014_QH13
0001079,0022636_91_2015_QH13
0001082,0014346_49_2019_QH14
0001083,0002640_100_2015_QH13
0001083,0002641_100_2015_QH13
0001083,0003046_100_2015_QH13
0001083,0002658_100_2015_QH13
0001083,0003096_100_2015_QH13
0001084,0014149_48_2019_QH14
0001084,0014220_48_2019_QH14
0001084,0014160_48_2019_QH14
0001084,0014184_48_2019_QH14
0001084,0014153_48_2019_QH14
0001093,0022582_91_2015_QH13
0001093,0022578_91_2015_QH13
0001100,0022067_91_2015_QH13
0001102,0022635_91_2015_QH13
0001102,0022638_91_2015_QH13
0001103,0015533_52_2014_QH13
0001106,0020453_78_2015_QH13
0001106,0014156_48_2019_QH14
0001110,0016561_59_2014_QH13
0001116,0022614_91_2015_QH13
0001120,0021991_91_2015_QH13
0001125,0018101_65_2014_QH13
0001125,0018102_65_2014_QH13
0001125,0018103_65_2014_QH13
0001126,0014307_49_2019_QH14
0001127,0024093_94_2015_QH13
0001130,0015441_52_2010_QH12
0001131,0021988_91_2015_QH13
0001131,0021986_91_2015_QH13
0001131,0021987_91_2015_QH13
0001131,0021996_91_2015_QH13
0001131,0021985_91_2015_QH13
0001134,0022612_91_2015_QH13
0001137,0022289_91_2015_QH13
0001141,0022593_91_2015_QH13
0001143,0022077_91_2015_QH13
0001144,0022126_91_2015_QH13
0001147,0022226_91_2015_QH13
0001153,0014297_49_2019_QH14
0001153,0014303_49_2019_QH14
0001155,0024040_94_2015_QH13
0001157,0022649_91_2015_QH13
0001157,0022648_91_2015_QH13
0001158,0023086_92_2015_QH13
0001158,0023084_92_2015_QH13
0001158,0023747_93_2015_QH13
0001162,0021403_86_2015_QH13
0001162,0021404_86_2015_QH13
0001164,0013444_45_2019_QH14
0001167,0017176_60_2014_QH13
0001170,0022658_91_2015_QH13
0001173,0015598_52_2014_QH13
0001173,0015600_52_2014_QH13
0001175,0015540_52_2014_QH13
0001175,0015567_52_2014_QH13
0001181,0018113_65_2014_QH13
0001181,0018103_65_2014_QH13
0001181,0018104_65_2014_QH13
0001183,0024033_94_2015_QH13
0001185,0022632_91_2015_QH13
0001185,0022629_91_2015_QH13
0001185,0022636_91_2015_QH13
0001188,0020455_78_2015_QH13
0001189,0024058_94_2015_QH13
0001189,0024059_94_2015_QH13
0001196,0015561_52_2014_QH13
0001197,0002511_100_2015_QH13
0001199,0016541_59_2014_QH13
0001199,0016542_59_2014_QH13
0001200,0021941_91_2015_QH13
0001201,0024033_94_2015_QH13
0001208,0015508_52_2014_QH13
0001208,0015509_52_2014_QH13
0001208,0015506_52_2014_QH13
0001208,0015510_52_2014_QH13
0001212,0009287_25_2008_QH12
0001212,0009288_25_2008_QH12
0001212,0009259_25_2008_QH12
0001215,0018963_68_2020_QH14
0001217,0022654_91_2015_QH13
0001218,0009121_24_2008_QH12
0001218,0009156_24_2008_QH12
0001218,0009120_24_2008_QH12
